id,signal_key,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,size,pnl_r,pnl_pct,exit_reason,confirmations,ai_score
238,14000-long,2026-05-10T17:20:00,2026-05-10T17:22:00,long,81368.0,81380.98152434205,81380.98152434205,0.203682,0.5586465425104921,0.5586465425104921,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",68.24
239,14024-long,2026-05-10T17:44:00,2026-05-10T17:49:00,long,81381.31,81397.34484676983,81397.34484676983,0.281053,0.6703985221403541,0.6703985221403541,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",72.06
240,14115-long,2026-05-10T19:15:00,2026-05-10T19:17:00,long,81407.51,81407.51,81407.51,0.262891,0.4,0.4,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.12
241,14161-long,2026-05-10T20:01:00,2026-05-10T20:12:00,long,81442.0,81414.59676242872,81414.59676242872,0.36492,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.71
242,14195-short,2026-05-10T20:35:00,2026-05-10T20:37:00,short,81009.87,81080.69544256321,81080.69544256321,0.141192,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'breaker_block', 'mitigation_block', 'institutional_zone']",30.59
243,14225-short,2026-05-10T21:05:00,2026-05-10T21:15:00,short,80834.21,80673.51206608072,80673.51206608072,0.083172,1.400968935478568,1.400968935478568,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",27.35
244,14240-short,2026-05-10T21:20:00,2026-05-10T21:32:00,short,80782.16,80886.29638552078,80886.29638552078,0.096028,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",29.12
245,14287-long,2026-05-10T22:07:00,2026-05-10T22:16:00,long,81138.51,81252.98460999715,81252.98460999715,0.066674,0.8579498252120996,0.8579498252120996,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'breaker_block', 'mitigation_block', 'fake_breakout']",68.82
246,14312-long,2026-05-10T22:32:00,2026-05-10T22:41:00,long,81709.47,81868.58799088403,81868.58799088403,0.063041,1.300927967465107,1.300927967465107,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",70.88
247,14327-long,2026-05-10T22:47:00,2026-05-10T22:57:00,long,81913.24,82056.32810049207,82056.32810049207,0.075878,1.051438078211489,1.051438078211489,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'equal_high_low', 'inducement', 'breaker_block']",72.65
248,14342-long,2026-05-10T23:02:00,2026-05-10T23:29:00,long,82367.96,82201.99896197223,82201.99896197223,0.060255,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",72.65
249,14376-long,2026-05-10T23:36:00,2026-05-10T23:50:00,long,82339.95,82242.416996371,82242.416996371,0.102529,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",69.12
250,14478-long,2026-05-11T01:18:00,2026-05-11T01:27:00,long,81610.09,81656.68441895662,81656.68441895662,0.094893,0.6652891922353885,0.6652891922353885,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'fake_breakout']",68.82
251,14580-short,2026-05-11T03:00:00,2026-05-11T03:04:00,short,81154.66,81154.66,81154.66,0.203671,0.4,0.4,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",30.29
252,14595-short,2026-05-11T03:15:00,2026-05-11T03:38:00,short,80643.65,80592.45973986028,80592.45973986028,0.109005,0.7347999633600764,0.7347999633600764,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'fake_breakout']",29.41
253,14740-short,2026-05-11T05:40:00,2026-05-11T05:41:00,short,80864.21,80894.66347931033,80894.66347931033,0.32837,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",24.12
254,14802-short,2026-05-11T06:42:00,2026-05-11T06:53:00,short,80803.13,80851.10244425046,80851.10244425046,0.208453,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'breaker_block', 'mitigation_block', 'institutional_zone']",27.35
255,14849-short,2026-05-11T07:29:00,2026-05-11T07:35:00,short,80737.9,80732.71687470748,80732.71687470748,0.22995,0.47151160221210575,0.47151160221210575,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",31.18
256,14910-short,2026-05-11T08:30:00,2026-05-11T08:37:00,short,80692.16,80742.39407974087,80742.39407974087,0.199068,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'session_quality', 'inducement', 'breaker_block', 'mitigation_block']",31.76
257,15019-long,2026-05-11T10:19:00,2026-05-11T10:30:00,long,81133.87,81152.53934248956,81152.53934248956,0.235821,0.6641571211141566,0.6641571211141566,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'adx', 'vwap', 'volume_spike', 'rvol', 'breaker_block', 'mitigation_block']",68.24
258,15055-short,2026-05-11T10:55:00,2026-05-11T11:00:00,short,81023.69,80971.92844099538,80971.92844099538,0.244843,1.3802038456868784,1.3802038456868784,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'rsi', 'macd', 'vwap', 'rvol', 'breaker_block', 'mitigation_block', 'institutional_zone']",31.18
259,15091-long,2026-05-11T11:31:00,2026-05-11T11:51:00,long,81156.45,81117.04963711368,81117.04963711368,0.253805,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'breaker_block', 'mitigation_block']",71.47
260,15120-long,2026-05-11T12:00:00,2026-05-11T12:03:00,long,81216.6,81182.12982899077,81182.12982899077,0.290106,-1.0,-1.0,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.12
261,15143-long,2026-05-11T12:23:00,2026-05-11T12:26:00,long,81215.48,81265.38680329296,81265.38680329296,0.19532,1.292433245331201,1.292433245331201,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'rvol', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.71
262,15170-short,2026-05-11T12:50:00,2026-05-11T12:53:00,short,81100.0,81082.82892765077,81082.82892765077,0.17216,0.577370377122176,0.577370377122176,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",30.88
263,15186-long,2026-05-11T13:06:00,2026-05-11T13:19:00,long,81233.77,81281.37936848428,81281.37936848428,0.182515,0.9213643202898771,0.9213643202898771,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'adx', 'vwap', 'mtf_confirmation', 'session_quality', 'breaker_block', 'mitigation_block']",69.71
264,15260-short,2026-05-11T14:20:00,2026-05-11T14:29:00,short,81010.8,80750.01,80818.95526961285,0.124869,1.9,1.9,tp3_full_close,"['trend_ema', 'structure', 'order_block', 'fvg', 'momentum_candle', 'rsi', 'macd', 'vwap', 'mtf_confirmation', 'session_quality', 'inducement', 'breaker_block', 'mitigation_block', 'institutional_zone']",29.41
265,15326-long,2026-05-11T15:26:00,2026-05-11T15:32:00,long,81227.25,81319.09536406661,81319.09536406661,0.11338,1.3124038164426028,1.3124038164426028,stop_loss,"['trend_ema', 'structure', 'order_block', 'fvg', 'premium_discount', 'momentum_candle', 'rsi', 'macd', 'vwap', 'volume_spike', 'rvol', 'breaker_block', 'mitigation_block']",68.53
